epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2878.4,1.9305,5.49046,0.01534,0.31362,0.19872,0.16686,0.07815,1.97463,3.81177,0.01813,0.00999702,0.00333234,0.00999702,0.00333234,0.00999702,0.00333234,0.00999702,0.00333234
2,5669.74,1.9678,3.16867,0.01581,0.34976,0.2817,0.22483,0.0967,1.97437,3.11376,0.01874,0.0196011,0.00653369,0.0196011,0.00653369,0.0196011,0.00653369,0.0196011,0.00653369
3,8453.08,2.06586,3.11166,0.01716,0.33345,0.26184,0.20968,0.08461,2.08655,3.11532,0.02003,0.0288091,0.00960305,0.0288091,0.00960305,0.0288091,0.00960305,0.0288091,0.00960305
4,11243.5,2.11288,3.07192,0.01777,0.32217,0.30147,0.23193,0.09823,2.01765,2.93882,0.01941,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,14028.7,2.06956,2.9448,0.0173,0.37315,0.31981,0.27011,0.11857,1.96024,2.76356,0.0185,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,16815.7,2.03063,2.82856,0.01672,0.40979,0.35572,0.32294,0.14536,1.95227,2.70216,0.01816,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,19600.2,2.00762,2.73659,0.01628,0.44288,0.36912,0.34638,0.16187,1.89525,2.53045,0.01757,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,22386.4,2.00114,2.65531,0.01621,0.44255,0.3859,0.36298,0.173,1.88704,2.45977,0.01749,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,25173.5,1.98776,2.61947,0.01622,0.43213,0.40798,0.37196,0.17939,1.866,2.41466,0.01719,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,27941,1.97107,2.56286,0.01581,0.46167,0.40744,0.39016,0.18826,1.84737,2.35034,0.01691,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,30703.1,1.96628,2.51973,0.01567,0.48502,0.4253,0.41279,0.19897,1.83388,2.28832,0.01676,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,33465.2,1.94098,2.48669,0.01553,0.49311,0.42592,0.42161,0.2095,1.8358,2.23086,0.01656,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,36228.6,1.92858,2.45412,0.01527,0.50312,0.43897,0.43028,0.21382,1.80567,2.23931,0.01625,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,38987.8,1.93239,2.41904,0.01532,0.51313,0.44099,0.4421,0.22246,1.80648,2.20517,0.01613,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
15,41750.9,1.91798,2.38632,0.01509,0.52275,0.44186,0.44824,0.22716,1.79316,2.18271,0.01605,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
16,44516,1.90788,2.38891,0.01503,0.51569,0.45712,0.45689,0.22894,1.77291,2.16093,0.01574,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
17,47534.6,1.90389,2.3327,0.01497,0.52945,0.45938,0.46698,0.23834,1.77634,2.11454,0.01591,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
18,50224.6,1.8974,2.3265,0.01479,0.54054,0.46217,0.47448,0.24368,1.76708,2.10387,0.01571,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
